timestamp,cpu_percent,arm_mhz,core_mhz,h264_mhz,isp_mhz,v3d_mhz,uart_mhz,pwm_mhz,emmc_mhz,pixel_mhz,vec_mhz,hdmi_mhz,dpi_mhz,arm_temp,core_volt,sdram_c_volt,sdram_i_volt,sdram_p_volt,3V7_WL_SW_A,3V3_SYS_A,1V8_SYS_A,DDR_VDD2_A,DDR_VDDQ_A,1V1_SYS_A,0V8_SW_A,VDD_CORE_A,3V3_DAC_A,3V3_ADC_A,0V8_AON_A,HDMI_A,3V7_WL_SW_V,3V3_SYS_V,1V8_SYS_V,DDR_VDD2_V,DDR_VDDQ_V,1V1_SYS_V,0V8_SW_V,VDD_CORE_V,3V3_DAC_V,3V3_ADC_V,0V8_AON_V,HDMI_V,EXT5V_V,BATT_V,readmr_4,readmr_5,readmr_6,readmr_8,throttle_hex,UV,ArmFreqCap,CurThrottle,SoftTempLimit,UV_occured,ArmFreqCap_occured,Throttle_occured,SoftTempLimit_occured
2026-04-13 20:06:12,0.0,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10637640,0.15810070,0.00487965,0.00000000,0.19616190,0.32986440,0.91979000,0.00000000,0.00036630,0.00390720,0.00989010,3.62646800,3.31374500,1.80512600,1.10805800,0.61831440,1.10842400,0.79963290,0.72178200,3.31776200,3.31409900,0.79882700,5.05046000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:14,0.0,1500,500,,500,500,44,,200,,,648,,58.2,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10442450,0.16005250,0.00585558,0.00000000,0.19713790,0.32596060,0.91085990,0.00024420,0.00042735,0.00366300,0.01001220,3.61904400,3.32952100,1.80415000,1.11355200,0.61831440,1.10586000,0.80146440,0.72178200,3.31776200,3.31409900,0.79882700,5.05448000,5.05314000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:16,0.0,1500,500,,500,500,44,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10344860,0.15810070,0.00683151,0.00000000,0.19518600,0.32986440,0.92871990,0.00012210,0.00042735,0.00354090,0.01001220,3.62182800,3.31188900,1.80512600,1.11355200,0.61208730,1.10842400,0.80292960,0.72205060,3.31959400,3.31409900,0.79882700,5.05046000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:19,0.0,1500,500,,500,500,43,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10247270,0.15810070,0.00292779,0.00000000,0.19713790,0.33181620,0.91085990,0.00006105,0.00042735,0.00390720,0.00940170,3.62182800,3.32766400,1.81342900,1.11208700,0.61868070,1.10915600,0.80292960,0.72151340,3.31684600,3.31226800,0.79882700,5.04242000,5.05582000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:21,0.0,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.16005250,0.00878337,0.00000000,0.19713790,0.32986440,0.91979000,0.00012210,0.00048840,0.00360195,0.00952380,3.61997200,3.30168200,1.80903400,1.10732500,0.61941330,1.10586000,0.80146440,0.72205060,3.31867800,3.31226800,0.79794790,5.06252000,5.06252000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:23,0.0,1500,500,,500,500,44,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.11223200,0.15810070,0.00683151,0.00000000,0.19713790,0.33084030,0.93765000,0.00000000,0.00073260,0.00354090,0.00976800,3.62182800,3.32952100,1.80317300,1.10769100,0.61868070,1.10915600,0.80292960,0.72151340,3.31684600,3.31501500,0.79824100,5.05314000,5.05314000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:25,0.0,1500,500,,500,500,44,,200,,,648,,56.5,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.15907660,0.00390372,0.00000000,0.19713790,0.33181620,0.90193000,0.00012210,0.00036630,0.00347985,0.00976800,3.61997200,3.30168200,1.80463800,1.11428500,0.61868070,1.10842400,0.80439480,0.72178200,3.31959400,3.31409900,0.79941320,5.04778000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:27,0.0,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.11808750,0.16005250,0.00780744,0.00000000,0.19811380,0.33279210,0.91979000,0.00024420,0.00036630,0.00360195,0.00976800,3.62090000,3.31931300,1.80903400,1.11391800,0.61794810,1.10659200,0.80256330,0.72151340,3.31684600,3.31318300,0.79824100,5.05314000,5.04778000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:29,1.0,1500,500,,500,500,44,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.15907660,0.00585558,0.00000000,0.20592120,0.32986440,0.91085990,0.00012210,0.00048840,0.00360195,0.00940170,3.62182800,3.31931300,1.80512600,1.10769100,0.61794810,1.10659200,0.80366220,0.72151340,3.31867800,3.31226800,0.79824100,5.05716000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:31,0.0,1500,500,,500,500,44,,200,,,648,,56.5,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.15810070,0.00487965,0.00000000,0.19713790,0.33279210,0.91979000,0.00024420,0.00036630,0.00347985,0.00952380,3.61811600,3.30724900,1.80317300,1.10695900,0.61721550,1.10915600,0.80292960,0.72178200,3.31776200,3.31318300,0.79882700,5.04912000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:34,0.2,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10247270,0.15614880,0.00683151,0.00000000,0.20592120,0.32888840,0.92871990,0.00012210,0.00061050,0.00347985,0.00952380,3.62182800,3.30168200,1.80512600,1.11391800,0.61794810,1.10659200,0.80146440,0.72124470,3.31867800,3.31318300,0.79794790,5.06520000,5.05984000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:36,0.0,1500,500,,500,500,44,,200,,,648,,57.6,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10052080,0.16005250,0.00780744,0.00000000,0.19713790,0.33084030,0.91979000,0.00012210,0.00061050,0.00329670,0.01025640,3.62832400,3.31838500,1.80463800,1.10732500,0.61758180,1.10659200,0.80292960,0.72151340,3.31867800,3.31135200,0.79853400,5.06788000,5.06788000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:38,0.0,1500,500,,500,500,43,,200,,,648,,56.5,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10832820,0.15810070,0.00390372,0.00000000,0.19616190,0.32986440,0.90193000,0.00000000,0.00036630,0.00360195,0.01025640,3.62182800,3.30446500,1.81294100,1.11465100,0.61868070,1.10586000,0.80439480,0.72124470,3.31776200,3.31409900,0.79794790,5.04376000,5.05314000,0.00341880, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:40,0.0,1500,500,,500,500,44,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10442450,0.15907660,0.00585558,0.00000000,0.20787310,0.32986440,0.90193000,0.00000000,0.00073260,0.00366300,0.00940170,3.62275600,3.32766400,1.81294100,1.11208700,0.61831440,1.10659200,0.79963290,0.72205060,3.31867800,3.31409900,0.79794790,5.05984000,5.05582000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:42,0.0,1500,500,,500,500,44,,200,,,648,,58.2,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10442450,0.16005250,0.00683151,0.00000000,0.19713790,0.33279210,0.92871990,0.00012210,0.00042735,0.00390720,0.01001220,3.62646800,3.35735900,1.80512600,1.10439400,0.61794810,1.10952300,0.79963290,0.72178200,3.31776200,3.31318300,0.79882700,5.05984000,5.05314000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:44,0.0,1500,500,,500,500,43,,200,,,648,,58.7,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10247270,0.15907660,0.00487965,0.00000000,0.19616190,0.33181620,0.90193000,0.00012210,0.00036630,0.00360195,0.00940170,3.62182800,3.30446500,1.80415000,1.10915600,0.61794810,1.10659200,0.80073180,0.72178200,3.32050900,3.31501500,0.79824100,5.03840000,5.05314000,0.00341880, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:46,1.0,1500,500,,500,500,44,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10344860,0.16005250,0.00683151,0.00000000,0.19616190,0.32986440,0.91085990,0.00000000,0.00054945,0.00335775,0.00989010,3.62646800,3.31188900,1.81342900,1.11465100,0.61831440,1.10659200,0.80256330,0.72151340,3.31776200,3.31409900,0.79853400,5.05180000,5.06252000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:48,0.2,1500,500,,500,500,44,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10149670,0.16200440,0.00292779,0.00000000,0.19616190,0.32986440,0.91979000,0.00024420,0.00036630,0.00360195,0.00964590,3.62182800,3.30446500,1.80121900,1.11355200,0.61868070,1.10879000,0.80183080,0.72178200,3.31959400,3.31226800,0.79794790,5.05716000,5.05046000,0.00341880, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:51,0.0,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.11125600,0.16005250,0.00878337,0.00000000,0.19713790,0.32986440,0.91979000,0.00000000,0.00042735,0.00390720,0.00964590,3.62275600,3.32766400,1.81294100,1.11355200,0.61977960,1.10915600,0.80292960,0.72151340,3.31867800,3.31318300,0.79824100,5.05314000,5.05448000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
2026-04-13 20:06:53,0.0,1500,500,,500,500,43,,200,,,648,,57.1,0.7200,0.6000,0.6000,1.1000,0.00000000,0.10344860,0.15907660,0.00780744,0.00000000,0.19518600,0.33084030,0.91979000,0.00012210,0.00042735,0.00360195,0.00964590,3.62461200,3.31188900,1.80512600,1.11465100,0.61758180,1.10915600,0.80292960,0.72178200,3.31959400,3.31318300,0.79794790,5.05046000,5.04912000,0.00256410, 2, 255, 7, 24,0x50000,No,No,No,No,No,Yes,No,Yes
